year bbage srfage frklen sex useage usesize estwt
2017 5 5 450 F 5 45 1.57222478772641
2017 NA 3 460 M 3 46 1.68826831223838
2017 NA 3 460 F 3 46 1.68826831223838
2017 5 5 470 F 5 47 1.81010244152883
2017 NA 4 470 F 4 47 1.81010244152883
2017 NA 4 480 M 4 48 1.93788367220863
2017 NA 3 480 F 3 48 1.93788367220863
2017 5 5 490 M 5 49 2.07176930216352
2017 NA 4 490 M 4 49 2.07176930216352
2017 3 5 490 F 3 49 2.07176930216352
2017 NA 4 490 F 4 49 2.07176930216352
2017 5 5 500 M 5 50 2.211917417832
2017 5 5 510 M 5 51 2.35848688194142
2017 5 5 510 F 5 51 2.35848688194142
2017 5 5 520 M 5 52 2.51163732167706
2017 NA 4 520 M 4 52 2.51163732167706
2017 5 5 520 M 5 52 2.51163732167706
2017 6 NA 520 M 6 52 2.51163732167706
2017 5 5 520 F 5 52 2.51163732167706
2017 NA 4 530 M 4 53 2.67152911726058
2017 5 5 530 M 5 53 2.67152911726058
2017 NA 4 530 F 4 53 2.67152911726058
2017 5 5 540 M 5 54 2.83832339091605
2017 5 5 540 M 5 54 2.83832339091605
2017 6 5 540 M 6 54 2.83832339091605
2017 NA 4 540 M 4 54 2.83832339091605
2017 NA 4 540 F 4 54 2.83832339091605
2017 9 5 550 M 9 55 3.01218199620338
2017 5 5 550 M 5 55 3.01218199620338
2017 5 5 550 M 5 55 3.01218199620338
2017 NA 4 550 F 4 55 3.01218199620338
2017 5 5 560 M 5 56 3.19326750770033
2017 5 5 560 M 5 56 3.19326750770033
2017 5 5 560 M 5 56 3.19326750770033
2017 5 NA 560 F 5 56 3.19326750770033
2017 6 NA 560 F 6 56 3.19326750770033
2017 6 5 570 M 6 57 3.38174321101546
2017 5 5 570 F 5 57 3.38174321101546
2017 5 5 580 M 5 58 3.57777309311576
2017 6 NA 590 M 6 59 3.7815218329537
2017 6 5 590 F 6 59 3.7815218329537
2017 6 NA 600 M 6 60 3.99315479237928
2017 5 NA 610 F 5 61 4.21283800732392
2017 9 NA 620 M 9 62 4.44073817924345
2017 8 NA 690 F 8 69 6.28025312728565
2017 5 5 430 M 5 43 1.35688765273116
2017 5 5 430 F 5 43 1.35688765273116
2017 NA 4 440 F 4 44 1.46181618586472
2017 NA 2 450 M 2 45 1.57222478772641
2017 5 5 450 M 5 45 1.57222478772641
2017 NA 4 450 F 4 45 1.57222478772641
2017 NA 4 460 M 4 46 1.68826831223838
2017 NA 4 460 M 4 46 1.68826831223838
2017 NA 4 460 M 4 46 1.68826831223838
2017 5 5 460 F 5 46 1.68826831223838
2017 NA 4 470 M 4 47 1.81010244152883
2017 NA 4 470 F 4 47 1.81010244152883
2017 NA 4 470 F 4 47 1.81010244152883
2017 NA 4 490 F 4 49 2.07176930216352
2017 5 5 500 M 5 50 2.211917417832
2017 NA 4 500 F 4 50 2.211917417832
2017 6 5 510 M 6 51 2.35848688194142
2017 6 5 510 M 6 51 2.35848688194142
2017 5 5 510 M 5 51 2.35848688194142
2017 6 NA 510 M 6 51 2.35848688194142
2017 5 5 510 M 5 51 2.35848688194142
2017 5 5 510 F 5 51 2.35848688194142
2017 6 5 520 M 6 52 2.51163732167706
2017 6 5 520 M 6 52 2.51163732167706
2017 NA 4 520 F 4 52 2.51163732167706
2017 5 5 530 M 5 53 2.67152911726058
2017 6 5 530 M 6 53 2.67152911726058
2017 6 5 530 M 6 53 2.67152911726058
2017 6 5 540 F 6 54 2.83832339091605
2017 6 NA 550 M 6 55 3.01218199620338
2017 5 5 550 F 5 55 3.01218199620338
2017 7 5 560 M 7 56 3.19326750770033
2017 6 5 560 M 6 56 3.19326750770033
2017 6 NA 560 M 6 56 3.19326750770033
2017 5 5 560 F 5 56 3.19326750770033
2017 5 5 570 M 5 57 3.38174321101546
2017 5 5 570 F 5 57 3.38174321101546
2017 7 NA 590 F 7 59 3.7815218329537
2017 6 NA 600 M 6 60 3.99315479237928
2017 6 NA 600 F 6 60 3.99315479237928
2017 5 NA 620 M 5 62 4.44073817924345
2017 7 NA 620 M 7 62 4.44073817924345
2017 6 NA 630 F 6 63 4.67702266680861
2017 9 NA 640 M 9 64 4.92185947783189
2017 8 NA 660 F 8 66 5.43786530034535
2017 7 NA 680 F 7 68 5.99011239926265
2017 8 NA 690 M 8 69 6.28025312728565
2017 10 NA 690 M 10 69 6.28025312728565
2017 13 NA 730 M 13 73 7.53827820362566
2017 14 NA 740 M 14 74 7.87801614281138
2017 10 NA 750 F 10 75 8.22819523409709
2017 17 NA 780 M 15 78 9.34313463667172
2017 5 NA 550 F 5 55 3.01218199620338
2017 5 NA 520 F 5 52 2.51163732167706
2017 13 NA 940 F 13 94 17.1017415990498
2017 11 NA 1010 F 11 100 21.5827780945367
2017 6 5 500 F 6 50 2.211917417832
2017 6 NA 580 M 6 58 3.57777309311576
2017 7 5 640 M 7 64 4.92185947783189
2017 7 NA 610 F 7 61 4.21283800732392
2017 6 5 670 F 6 67 5.70937350361754
2017 6 5 520 M 6 52 2.51163732167706
2017 5 NA 530 F 5 53 2.67152911726058
2017 9 NA 630 M 9 63 4.67702266680861
2017 12 NA 650 M 12 65 5.17541726142047
2017 13 NA 910 F 13 91 15.3957271446278
2017 13 NA 1060 F 13 100 25.2404502582405
2017 11 NA 770 F 11 77 8.96057839996833
2017 11 NA 800 F 11 80 10.1418609605819
2017 16 NA 960 F 15 96 18.30901116466
2017 11 NA 830 F 11 83 11.4266549642213
2017 10 NA 840 F 10 84 11.87875653776
2017 10 NA 870 F 10 87 13.3090934029129
2017 12 NA 780 M 12 78 9.34313463667172
2017 11 NA 800 F 11 80 10.1418609605819
2017 11 NA 860 F 11 86 12.8197948820787
