,TMB dummy,TMB dummy,TMB dummy,TMB multi-spp pl,TMB multi-spp pl,TMB multi-spp pl,TMB multi-spp re,TMB multi-spp re,TMB multi-spp re,ADMB multi-spp,ADMB multi-spp,ADMB multi-spp
1,0.886508311,0.886508311,0.886508311,0.886493798,0.648579705,1.12440789,0.875437136,0.636995098,1.113879175,0.886508,NA,NA
2,0.519794806,0.519794806,0.519794806,0.519676986,0.31606318,0.723290792,0.524416138,0.323194168,0.725638108,0.519795,NA,NA
3,0.523183281,0.523183281,0.523183281,0.523097547,0.325444415,0.72075068,0.520949752,0.326432522,0.715466982,0.523183,NA,NA
4,0.597985059,0.597985059,0.597985059,0.597679563,0.37824776,0.817111365,0.598957813,0.38253806,0.815377567,0.597985,NA,NA
5,1.236202893,1.236202893,1.236202893,1.235729786,1.037522093,1.433937478,1.229521338,1.031802543,1.427240133,1.2362,NA,NA
6,0.586916592,0.586916592,0.586916592,0.586738058,0.397164586,0.77631153,0.586936077,0.399239142,0.774633013,0.586917,NA,NA
7,1.026816077,1.026816077,1.026816077,1.026494576,0.852525869,1.200463283,1.023566291,0.850100921,1.19703166,1.02682,NA,NA
8,0.488142429,0.488142429,0.488142429,0.487945837,0.347358886,0.628532789,0.486570965,0.34790947,0.62523246,0.488142,NA,NA
9,0.334806356,0.334806356,0.334806356,0.334656132,0.217355871,0.451956394,0.333797025,0.218554989,0.449039062,0.334806,NA,NA
10,0.311909747,0.311909747,0.311909747,0.311778939,0.18388897,0.439668908,0.314462822,0.188541074,0.44038457,0.31191,NA,NA
11,0.831051149,0.831051149,0.831051149,0.830656458,0.657432983,1.003879933,0.825421119,0.653009136,0.997833102,0.831051,NA,NA
12,1.191372794,1.191372794,1.191372794,1.190790849,0.997905033,1.383676665,1.186132705,0.993971112,1.378294297,1.19137,NA,NA
13,0.682206771,0.682206771,0.682206771,0.682115553,0.536375679,0.827855426,0.68160109,0.536333406,0.826868774,0.682207,NA,NA
14,0.676917529,0.676917529,0.676917529,0.676838807,0.530128433,0.823549181,0.676910145,0.530773149,0.823047141,0.676918,NA,NA
15,0.823578311,0.823578311,0.823578311,0.823493311,0.685735327,0.961251295,0.82099869,0.683500601,0.958496779,0.823578,NA,NA
16,0.331656925,0.331656925,0.331656925,0.331656358,0.219639981,0.443672736,0.333864373,0.22276051,0.444968236,0.331657,NA,NA
17,0.439192065,0.439192065,0.439192065,0.439194441,0.317571801,0.56081708,0.437982472,0.317539804,0.558425141,0.439192,NA,NA
18,0.661384064,0.661384064,0.661384064,0.661308629,0.512275392,0.810341865,0.660438002,0.512336653,0.808539352,0.661384,NA,NA
19,1.009211545,1.009211545,1.009211545,1.009223344,0.843197521,1.175249167,1.005493183,0.839889761,1.171096606,1.00921,NA,NA
20,0.519772171,0.519772171,0.519772171,0.519805426,0.375468322,0.664142531,0.519636996,0.376420553,0.662853438,0.519772,NA,NA
21,0.610508232,0.610508232,0.610508232,0.610617259,0.472476095,0.748758423,0.609608615,0.472301743,0.746915488,0.610508,NA,NA
22,0.958451934,0.958451934,0.958451934,0.958676626,0.805808205,1.111545046,0.954180095,0.801745446,1.106614744,0.958452,NA,NA
23,0.396144336,0.396144336,0.396144336,0.396280384,0.290571799,0.501988968,0.396709747,0.291780836,0.501638658,0.396144,NA,NA
24,0.378281374,0.378281374,0.378281374,0.378448281,0.288707309,0.468189253,0.377879503,0.28889763,0.466861376,0.378281,NA,NA
25,0.336552267,0.336552267,0.336552267,0.336698543,0.252406876,0.420990209,0.337123484,0.253524795,0.420722172,0.336552,NA,NA
26,0.402022073,0.402022073,0.402022073,0.402259629,0.317022347,0.487496911,0.400831376,0.316232151,0.485430602,0.402022,NA,NA
27,0.289181406,0.289181406,0.289181406,0.289320202,0.200510009,0.378130396,0.290524572,0.202458128,0.378591016,0.289181,NA,NA
28,0.501638723,0.501638723,0.501638723,0.501749845,0.402912282,0.600587408,0.501206408,0.402828721,0.599584095,0.501639,NA,NA
29,0.945960078,0.945960078,0.945960078,0.946149381,0.809956369,1.082342393,0.944008739,0.808012745,1.080004733,0.94596,NA,NA
30,0.650014382,0.650014382,0.650014382,0.650051104,0.503130513,0.796971696,0.650836762,0.50430678,0.797366744,0.650014,NA,NA
31,1.170542406,1.170542406,1.170542406,1.170469522,1.002122959,1.338816084,1.167559975,0.999145822,1.335974128,1.17054,NA,NA
32,0.452161867,0.452161867,0.452161867,0.452068235,0.289176149,0.61496032,0.455136394,0.29305736,0.617215427,0.452162,NA,NA
33,1.06249434,1.06249434,1.06249434,1.062090285,0.853796089,1.27038448,1.057717379,0.849789089,1.265645668,1.06249,NA,NA
34,1.126765197,1.126765197,1.126765197,1.126260065,0.922693083,1.329827046,1.124462048,0.921341212,1.327582884,1.12677,NA,NA
35,0.854573287,0.854573287,0.854573287,0.854173584,0.667991599,1.040355569,0.851927606,0.66659051,1.037264702,0.854573,NA,NA
36,0.594326568,0.594326568,0.594326568,0.593864771,0.413122873,0.774606669,0.592835106,0.413405906,0.772264307,0.594327,NA,NA
37,0.225130694,0.225130694,0.225130694,0.22493883,0.118485154,0.331392506,0.231268665,0.122466322,0.340071008,0.225131,NA,NA
38,0.281580417,0.281580417,0.281580417,0.281322121,0.141191119,0.421453122,0.287694325,0.146127986,0.429260663,0.28158,NA,NA
39,0.159168442,0.159168442,0.159168442,0.159076591,0.035857754,0.282295429,0.174972951,0.036964782,0.312981121,0.159168,NA,NA
