"","TMB dummy","TMB multi-spp pl","TMB multi-spp re","ADMB multi-spp"
"1",0.101950012847443,0.0669222415546909,0.0656359578709381,NA
"2",0.123499026612722,0.0871442433569845,0.0870473241048547,NA
"3",0.297102250350848,0.25008938077086,0.250337890042859,NA
"4",0.0720476721389519,0.0450133589958641,0.0442005929985818,NA
"5",0.11255203326228,0.0760204910449338,0.0752582334443869,NA
"6",0.263135376096917,0.203387227773208,0.203596275017198,NA
"7",0.447492359401013,0.369652705943786,0.368034723740429,NA
"8",0.305472230980222,0.2354312653175,0.235772400914844,NA
"9",0.331370719224574,0.257180418761356,0.256258063050013,NA
"10",0.219569159105103,0.154092977503476,0.154630255598214,NA
"11",0.290440608224015,0.209781097241524,0.208688264577566,NA
"12",0.322198904621829,0.258293590996214,0.258457723995777,NA
"13",0.418845166608492,0.342601664953937,0.342086075344532,NA
"14",0.523272668558917,0.43931138520375,0.439259800538999,NA
"15",0.529179222325696,0.445670594164115,0.445544099074092,NA
"16",0.249693479396931,0.180861553281854,0.180691554419664,NA
"17",0.308232973655604,0.232156567782379,0.231958886659212,NA
"18",0.405696482707058,0.318988724994366,0.318593689611942,NA
"19",0.268232517219631,0.200106687631343,0.199817950816918,NA
"20",0.262109947970177,0.191650775999669,0.191512762203385,NA
"21",0.400162177329718,0.320180898491617,0.320146025833521,NA
"22",0.292447925289163,0.212398076978521,0.212070669733012,NA
"23",0.351179664620996,0.267301271066016,0.267154901366961,NA
"24",0.428078254600867,0.33509709240307,0.334885594911446,NA
"25",0.540667409500537,0.426879790789021,0.426652203112522,NA
"26",0.38698877807406,0.295426701152136,0.295562155528105,NA
"27",0.260463306327005,0.178615115550195,0.178238748455023,NA
"28",0.373298775684313,0.2898826928819,0.290089513188901,NA
"29",0.28535954640321,0.21270114853722,0.212484192247336,NA
"30",0.249646389831047,0.177896518054489,0.177920611597775,NA
"31",0.320263591321815,0.245218555390533,0.245124296658916,NA
"32",0.277861635733521,0.195793819511597,0.195592435267988,NA
"33",0.185691073442123,0.115884878281656,0.115487804450433,NA
"34",0.332428434103322,0.236391384908737,0.23648708561121,NA
"35",0.304879161009865,0.206367471885023,0.205675841084421,NA
"36",0.243235415927796,0.145161591721309,0.1447985541368,NA
"37",0.199574860993525,0.0838569855500017,0.0834008628290443,NA
"38",0.334904271057256,0.109769345064743,0.108074147124704,NA
"39",0.22561969869166,-0.0123935831485219,-0.0143185123363437,NA
