file	seconds
test-api-deprecated-args.R	1
test-api-refit-control.R	0
test-bias-adjust.R	2
test-build-switch-coerce.R	0
test-catchability-mirrored-columns.R	4
test-catchability-mirroring.R	2
test-catchability-qar1-deprecation.R	4
test-composition-accumulation.R	25
test-composition-age-hat-width.R	4
test-composition-dm-diet-weight.R	19
test-config-model-config.R	16
test-convergence-variance-collapse.R	731
test-convergence.R	0
test-data-blocks-optional.R	0
test-data-build-data.R	12
test-data-check-age-coverage.R	4
test-data-check-caal-dimension.R	0
test-data-check-comp-sex.R	1
test-data-check-diet-age-bounds.R	1
test-data-check-diet-coverage.R	2
test-data-check-stomach-id.R	1
test-data-combine-and-read.R	1
test-data-functions.R	8
test-data-index-cov-validation.R	1
test-data-input-validation.R	0
test-data-optional-fields.R	2
test-data-read-robustness.R	2
test-data-required-inputs.R	1
test-data-requirement-table.R	1
test-data-workbook-roundtrip.R	4
test-data-write-template.R	1
test-deprecated-est-m1.R	0
test-diagnostics-print-contract.R	141
test-dynamics-brps.R	63
test-dynamics-fit-sanity-model.R	11
test-dynamics-initial.R	8
test-dynamics-linkage-auto-map.R	6
test-dynamics-multi-spp-model.R	33
test-dynamics-recruitment-linkage.R	39
test-dynamics-recruitment-minage.R	3
test-dynamics-recruitment.R	20
test-dynamics-refpoint-mean-rec.R	1
test-dynamics-sex-index-bounds.R	1
test-dynamics-spr-two-sex.R	21
test-dynamics-spr.R	14
test-dynamics-unfished-reference.R	7
test-fit-comp-weight-column-warning.R	6
test-fit-config-overlay.R	497
test-fit-verbose-estimability.R	10
test-fitmod-quiet-data-check.R	2
test-fleet-control-deprecated-sd-columns.R	1
test-fleet-control-renames-backcompat.R	2
test-functions-as-data-frame.R	0
test-functions-mse.R	295
test-functions-optional-data.R	70
test-functions-profile-joint.R	0
test-functions-profile-param.R	128
test-functions-refit-like-fit-control.R	11
test-functions-refit-like-linkages.R	14
test-functions-retrospective.R	137
test-functions-reweight.R	122
test-functions-sim-mod-bias-adjust.R	4
test-functions-sim-mod-catch.R	9
test-functions-sim-mod-comp.R	1871
test-functions-sim-mod-diet-dispersion.R	553
test-functions-sim-mod-diet-roundtrip-dm.R	622
test-functions-sim-mod-diet-roundtrip-mn.R	584
test-functions-sim-mod-diet-weights.R	591
test-functions-sim-mod-diet.R	10
test-functions-sim-mod-invariants.R	2
test-functions-sim-mod-process.R	13
test-functions-sim-mod.R	13
test-functions-simulate-method.R	1
test-golden-regression.R	0
test-growth-linkage-species.R	34
test-growth-matrix-row-sums.R	1
test-growth-minage0.R	1
